worker_id,course,due_date,completed_at,hours,status
W-1072,800V electrical safety / LOTO,2026-09-01,2026-05-20,4,complete
W-1073,800V electrical safety / LOTO,2026-09-01,2026-06-21,4,complete
W-1074,800V electrical safety / LOTO,2026-09-01,2026-01-22,4,complete
W-1075,800V electrical safety / LOTO,2026-09-01,2026-02-23,4,complete
W-1075,OEM data / PDPO,2026-12-31,,0.5,overdue
W-1076,800V electrical safety / LOTO,2026-09-01,2026-03-24,4,complete
W-1077,800V electrical safety / LOTO,2026-09-01,2026-04-25,4,complete
W-1078,800V electrical safety / LOTO,2026-09-01,2026-05-26,4,complete
W-1079,800V electrical safety / LOTO,2026-09-01,2026-06-27,4,complete
W-1080,800V electrical safety / LOTO,2026-09-01,2026-01-08,4,complete
W-1081,800V electrical safety / LOTO,2026-09-01,2026-02-09,4,complete
W-1082,800V electrical safety / LOTO,2026-09-01,2026-03-10,4,complete
W-1083,800V electrical safety / LOTO,2026-09-01,2026-04-11,4,complete
W-1084,800V electrical safety / LOTO,2026-09-01,2026-05-12,4,complete
W-1085,800V electrical safety / LOTO,2026-09-01,2026-06-13,4,complete
W-1086,800V electrical safety / LOTO,2026-09-01,2026-01-14,4,complete
W-1087,800V electrical safety / LOTO,2026-09-01,2026-02-15,4,complete
W-1088,800V electrical safety / LOTO,2026-09-01,2026-03-16,4,complete
W-1089,800V electrical safety / LOTO,2026-09-01,2026-04-17,4,complete
W-1090,800V electrical safety / LOTO,2026-09-01,2026-05-18,4,complete
W-1091,800V electrical safety / LOTO,2026-09-01,2026-06-19,4,complete
W-1092,800V electrical safety / LOTO,2026-09-01,2026-01-20,4,complete
W-1093,800V electrical safety / LOTO,2026-09-01,2026-02-21,4,complete
W-1094,800V electrical safety / LOTO,2026-09-01,2026-03-22,4,complete
W-1095,800V electrical safety / LOTO,2026-09-01,2026-04-23,4,complete
W-1096,800V electrical safety / LOTO,2026-09-01,2026-05-24,4,complete
W-1097,800V electrical safety / LOTO,2026-09-01,2026-06-25,4,complete
W-1098,800V electrical safety / LOTO,2026-09-01,2026-01-26,4,complete
W-1099,800V electrical safety / LOTO,2026-09-01,2026-02-27,4,complete
W-1100,800V electrical safety / LOTO,2026-09-01,2026-03-08,4,complete
W-1101,800V electrical safety / LOTO,2026-09-01,2026-04-09,4,complete
W-1102,800V electrical safety / LOTO,2026-09-01,2026-05-10,4,complete
W-1103,800V electrical safety / LOTO,2026-09-01,2026-06-11,4,complete
W-1104,800V electrical safety / LOTO,2026-09-01,2026-01-12,4,complete
W-1105,800V electrical safety / LOTO,2026-09-01,2026-02-13,4,complete
W-1106,800V electrical safety / LOTO,2026-09-01,2026-03-14,4,complete
W-1107,800V electrical safety / LOTO,2026-09-01,2026-04-15,4,complete
W-1108,800V electrical safety / LOTO,2026-09-01,2026-05-16,4,complete
W-1109,800V electrical safety / LOTO,2026-09-01,2026-06-17,4,complete
W-1110,800V electrical safety / LOTO,2026-09-01,2026-01-18,4,complete
W-1111,800V electrical safety / LOTO,2026-09-01,2026-02-19,4,complete
W-1112,800V electrical safety / LOTO,2026-09-01,2026-03-20,4,complete
W-1113,800V electrical safety / LOTO,2026-09-01,2026-04-21,4,complete
W-1114,800V electrical safety / LOTO,2026-09-01,2026-05-22,4,complete
W-1115,800V electrical safety / LOTO,2026-09-01,2026-06-23,4,complete
W-1116,800V electrical safety / LOTO,2026-09-01,2026-01-24,4,complete
W-1117,800V electrical safety / LOTO,2026-09-01,2026-02-25,4,complete
W-1118,800V electrical safety / LOTO,2026-09-01,2026-03-26,4,complete
W-1119,800V electrical safety / LOTO,2026-09-01,2026-04-27,4,complete
W-1120,800V electrical safety / LOTO,2026-09-01,2026-05-08,4,complete
W-1121,800V electrical safety / LOTO,2026-09-01,2026-06-09,4,complete
W-1122,800V electrical safety / LOTO,2026-09-01,2026-01-10,4,complete
W-1123,800V electrical safety / LOTO,2026-09-01,2026-02-11,4,complete
W-1124,800V electrical safety / LOTO,2026-09-01,2026-03-12,4,complete
W-1125,800V electrical safety / LOTO,2026-09-01,2026-04-13,4,complete
W-1126,800V electrical safety / LOTO,2026-09-01,2026-05-14,4,complete
W-1127,800V electrical safety / LOTO,2026-09-01,2026-06-15,4,complete
W-1128,800V electrical safety / LOTO,2026-09-01,2026-01-16,4,complete
