worker_id,status,site_id,department,gender,contract_type,hire_date,as_of,note
W-1038,active,dgws,Connector molding & assembly,male,permanent,2024-07-13,2026-08-31,
W-1039,active,dgws,Connector molding & assembly,male,permanent,2025-08-14,2026-08-31,
W-1040,active,dgws,Connector molding & assembly,male,permanent,2016-09-15,2026-08-31,
W-1041,active,dgws,Connector molding & assembly,male,permanent,2017-10-16,2026-08-31,
W-1042,active,dgws,Connector molding & assembly,male,permanent,2018-11-17,2026-08-31,
W-1043,active,dgws,Connector molding & assembly,male,permanent,2019-12-18,2026-08-31,
W-1044,active,dgws,Connector molding & assembly,male,contract,2020-01-19,2026-08-31,
W-1045,active,dgws,Connector molding & assembly,male,contract,2021-02-20,2026-08-31,
W-1046,active,dgws,Connector molding & assembly,male,contract,2022-03-21,2026-08-31,
W-1047,active,dgws,Connector molding & assembly,male,contract,2023-04-22,2026-08-31,
W-1048,active,dgws,Connector molding & assembly,male,contract,2024-05-23,2026-08-31,
W-1049,active,dgws,Connector molding & assembly,male,contract,2025-06-24,2026-08-31,
W-1050,active,dgws,Connector molding & assembly,male,contract,2016-07-25,2026-08-31,
W-1051,active,dgws,Connector molding & assembly,male,contract,2017-08-26,2026-08-31,
W-1052,active,dgws,Connector molding & assembly,male,contract,2018-09-27,2026-08-31,
W-1053,active,dgws,Charging-module SMT & test,female,permanent,2019-10-01,2026-08-31,
W-1054,active,dgws,Charging-module SMT & test,female,permanent,2020-11-02,2026-08-31,
W-1055,active,dgws,Charging-module SMT & test,female,permanent,2021-12-03,2026-08-31,
W-1056,active,dgws,Charging-module SMT & test,female,permanent,2022-01-04,2026-08-31,
W-1057,active,dgws,Charging-module SMT & test,female,permanent,2023-02-05,2026-08-31,
W-1058,active,dgws,Charging-module SMT & test,female,permanent,2024-03-06,2026-08-31,
W-1059,active,dgws,Charging-module SMT & test,female,permanent,2025-04-07,2026-08-31,
W-1060,active,dgws,Charging-module SMT & test,female,permanent,2016-05-08,2026-08-31,
W-1061,active,dgws,Charging-module SMT & test,female,permanent,2017-06-09,2026-08-31,
W-1062,active,dgws,Charging-module SMT & test,female,permanent,2018-07-10,2026-08-31,
W-1063,active,dgws,Charging-module SMT & test,female,permanent,2019-08-11,2026-08-31,
W-1064,active,dgws,Charging-module SMT & test,female,permanent,2020-09-12,2026-08-31,
W-1065,active,dgws,Charging-module SMT & test,male,permanent,2021-10-13,2026-08-31,
W-1066,active,dgws,Charging-module SMT & test,male,permanent,2022-11-14,2026-08-31,
W-1067,active,dgws,Charging-module SMT & test,male,permanent,2023-12-15,2026-08-31,
W-1068,active,dgws,Charging-module SMT & test,male,permanent,2024-01-16,2026-08-31,
W-1069,active,dgws,Charging-module SMT & test,male,permanent,2025-02-17,2026-08-31,
W-1070,active,dgws,Charging-module SMT & test,male,permanent,2016-03-18,2026-08-31,
W-1071,active,dgws,Charging-module SMT & test,male,permanent,2017-04-19,2026-08-31,
W-1072,active,dgws,Charging-module SMT & test,male,permanent,2018-05-20,2026-08-31,
W-1073,active,dgws,Charging-module SMT & test,male,permanent,2019-06-21,2026-08-31,
W-1074,active,dgws,Charging-module SMT & test,male,permanent,2020-07-22,2026-08-31,
W-1075,active,dgws,Charging-module SMT & test,male,contract,2021-08-23,2026-08-31,
W-1076,active,dgws,Charging-module SMT & test,male,contract,2022-09-24,2026-08-31,
W-1077,active,dgws,Charging-module SMT & test,male,contract,2023-10-25,2026-08-31,
W-1078,active,dgws,Charging-module SMT & test,male,contract,2024-11-26,2026-08-31,
W-1079,active,dgws,Charging-module SMT & test,male,contract,2025-12-27,2026-08-31,
W-1080,active,dgws,Charging-module SMT & test,male,contract,2016-01-01,2026-08-31,
W-1081,active,dgws,Quality / HV lab,female,permanent,2017-02-02,2026-08-31,
W-1082,active,dgws,Quality / HV lab,female,permanent,2018-03-03,2026-08-31,
W-1083,active,dgws,Quality / HV lab,female,permanent,2019-04-04,2026-08-31,
W-1084,active,dgws,Quality / HV lab,female,permanent,2020-05-05,2026-08-31,
W-1085,active,dgws,Quality / HV lab,male,permanent,2021-06-06,2026-08-31,
W-1086,active,dgws,Quality / HV lab,male,permanent,2022-07-07,2026-08-31,
W-1087,active,dgws,Quality / HV lab,male,permanent,2023-08-08,2026-08-31,
W-1088,active,dgws,Quality / HV lab,male,permanent,2024-09-09,2026-08-31,
W-1089,active,dgws,Quality / HV lab,male,permanent,2025-10-10,2026-08-31,
W-1090,active,dgws,Quality / HV lab,male,contract,2016-11-11,2026-08-31,
W-1091,active,dgws,Quality / HV lab,male,contract,2017-12-12,2026-08-31,
W-1092,active,dgws,Product & process engineering,female,permanent,2018-01-13,2026-08-31,
W-1093,active,dgws,Product & process engineering,female,permanent,2019-02-14,2026-08-31,
W-1094,active,dgws,Product & process engineering,female,permanent,2020-03-15,2026-08-31,
W-1095,active,dgws,Product & process engineering,male,permanent,2021-04-16,2026-08-31,
W-1096,active,dgws,Product & process engineering,male,permanent,2022-05-17,2026-08-31,
W-1097,active,dgws,Product & process engineering,male,permanent,2023-06-18,2026-08-31,
W-1098,active,dgws,Product & process engineering,male,permanent,2024-07-19,2026-08-31,
W-1099,active,dgws,Product & process engineering,male,permanent,2025-08-20,2026-08-31,
W-1100,active,dgws,Product & process engineering,male,permanent,2016-09-21,2026-08-31,
W-1101,active,dgws,Product & process engineering,male,permanent,2017-10-22,2026-08-31,
W-1102,active,dgws,Product & process engineering,male,permanent,2018-11-23,2026-08-31,
W-1103,active,dgws,Product & process engineering,male,permanent,2019-12-24,2026-08-31,
W-1104,active,dgws,Supply chain,female,permanent,2020-01-25,2026-08-31,
W-1105,active,dgws,Supply chain,female,permanent,2021-02-26,2026-08-31,
W-1106,active,dgws,Supply chain,female,permanent,2022-03-27,2026-08-31,
W-1107,active,dgws,Supply chain,male,permanent,2023-04-01,2026-08-31,
W-1108,active,dgws,Supply chain,male,permanent,2024-05-02,2026-08-31,
W-1109,active,dgws,Supply chain,male,permanent,2025-06-03,2026-08-31,
W-1110,active,dgws,Supply chain,male,permanent,2016-07-04,2026-08-31,
W-1111,active,dgws,Supply chain,male,contract,2017-08-05,2026-08-31,
W-1112,active,dgws,EHS,female,permanent,2018-09-06,2026-08-31,
W-1113,active,dgws,EHS,female,permanent,2019-10-07,2026-08-31,
W-1114,active,dgws,EHS,male,permanent,2020-11-08,2026-08-31,
W-1115,active,dgws,EHS,male,permanent,2021-12-09,2026-08-31,
W-1116,active,dgws,EHS,male,permanent,2022-01-10,2026-08-31,
W-1117,active,hkhq,Sales & program,female,permanent,2023-02-11,2026-08-31,
W-1118,active,hkhq,Sales & program,female,permanent,2024-03-12,2026-08-31,
W-1119,active,hkhq,Sales & program,female,permanent,2025-04-13,2026-08-31,
W-1120,active,hkhq,Sales & program,male,permanent,2016-05-14,2026-08-31,
W-1121,active,hkhq,Sales & program,male,permanent,2017-06-15,2026-08-31,
W-1122,active,hkhq,Sales & program,male,permanent,2018-07-16,2026-08-31,
W-1123,active,hkhq,Finance,female,permanent,2019-08-17,2026-08-31,
W-1124,active,hkhq,Finance,male,permanent,2020-09-18,2026-08-31,
W-1125,active,hkhq,HR,female,permanent,2021-10-19,2026-08-31,
W-1126,active,hkhq,HR,male,permanent,2022-11-20,2026-08-31,
W-1127,active,hkhq,Corporate (HK),female,permanent,2023-12-21,2026-08-31,
W-1128,active,hkhq,Corporate (HK),male,permanent,2024-01-22,2026-08-31,
